datetime,temp,humidity,precip,windspeed,city
2022-05-01,52.7,82.4,0.224,5.4,Newcastle upon Tyne
2022-05-02,50.1,82.5,0.004,9.2,Newcastle upon Tyne
2022-05-03,48.0,85.7,0.027,6.6,Newcastle upon Tyne
2022-05-04,52.8,83.4,0.14,13.8,Newcastle upon Tyne
2022-05-05,51.9,80.8,0.006,12.0,Newcastle upon Tyne
2022-05-06,54.6,82.3,0.017,14.3,Newcastle upon Tyne
2022-05-07,49.7,78.0,0.008,8.6,Newcastle upon Tyne
2022-05-08,50.9,76.2,0.0,9.7,Newcastle upon Tyne
2022-05-09,54.7,73.1,0.01,14.5,Newcastle upon Tyne
2022-05-10,55.8,66.7,0.037,19.6,Newcastle upon Tyne
2022-05-11,53.0,69.9,0.044,17.5,Newcastle upon Tyne
2022-05-12,51.2,68.7,0.001,17.6,Newcastle upon Tyne
2022-05-13,54.0,72.4,0.039,23.1,Newcastle upon Tyne
2022-05-14,54.9,70.0,0.0,13.0,Newcastle upon Tyne
2022-05-15,51.5,83.8,0.031,10.8,Newcastle upon Tyne
2022-05-16,52.3,93.8,0.714,11.2,Newcastle upon Tyne
2022-05-17,59.8,78.5,0.255,10.8,Newcastle upon Tyne
2022-05-18,58.6,63.9,0.021,13.8,Newcastle upon Tyne
2022-05-19,56.4,60.1,0.026,12.5,Newcastle upon Tyne
2022-05-20,53.3,69.9,0.002,11.8,Newcastle upon Tyne
2022-05-21,54.7,69.9,0.001,14.2,Newcastle upon Tyne
2022-05-22,56.7,75.6,0.024,13.3,Newcastle upon Tyne
2022-05-23,56.0,72.5,0.017,14.0,Newcastle upon Tyne
2022-05-24,51.3,77.9,0.161,16.3,Newcastle upon Tyne
2022-05-25,54.7,70.3,0.038,23.8,Newcastle upon Tyne
2022-05-26,54.3,67.2,0.008,25.1,Newcastle upon Tyne
2022-05-27,53.5,59.8,0.0,21.5,Newcastle upon Tyne
2022-05-28,50.3,71.5,0.0,13.8,Newcastle upon Tyne
2022-05-29,47.9,75.1,0.044,11.5,Newcastle upon Tyne
2022-05-30,48.3,88.5,0.235,8.4,Newcastle upon Tyne
2022-05-31,49.0,90.6,0.441,5.4,Newcastle upon Tyne
2022-06-01,51.6,80.9,0.002,11.1,Newcastle upon Tyne
2022-06-02,54.3,74.9,0.212,7.4,Newcastle upon Tyne
2022-06-03,53.9,81.4,0.027,14.7,Newcastle upon Tyne
2022-06-04,51.4,73.1,0.0,10.5,Newcastle upon Tyne
2022-06-05,51.1,79.8,0.015,12.4,Newcastle upon Tyne
2022-06-06,52.1,80.0,0.024,10.8,Newcastle upon Tyne
2022-06-07,52.1,81.9,0.0,8.4,Newcastle upon Tyne
2022-06-08,55.7,85.0,0.348,14.7,Newcastle upon Tyne
2022-06-09,58.2,77.6,0.0,12.9,Newcastle upon Tyne
2022-06-10,61.5,63.2,0.0,20.8,Newcastle upon Tyne
2022-06-11,58.8,67.7,0.026,19.8,Newcastle upon Tyne
2022-06-12,55.4,69.4,0.015,21.4,Newcastle upon Tyne
2022-06-13,54.1,75.7,0.001,16.0,Newcastle upon Tyne
2022-06-14,56.6,69.5,0.001,10.3,Newcastle upon Tyne
2022-06-15,58.8,65.6,0.0,6.7,Newcastle upon Tyne
2022-06-16,63.0,64.0,0.0,8.5,Newcastle upon Tyne
2022-06-17,64.1,64.6,0.003,17.9,Newcastle upon Tyne
2022-06-18,55.2,65.7,0.0,18.5,Newcastle upon Tyne
2022-06-19,55.8,67.1,0.0,14.8,Newcastle upon Tyne
2022-06-20,58.3,65.3,0.0,11.3,Newcastle upon Tyne
2022-06-21,59.6,77.2,0.014,10.5,Newcastle upon Tyne
2022-06-22,62.8,75.8,0.0,13.9,Newcastle upon Tyne
2022-06-23,63.5,71.8,0.036,9.7,Newcastle upon Tyne
2022-06-24,65.1,76.9,0.141,7.4,Newcastle upon Tyne
2022-06-25,60.9,64.0,0.047,17.4,Newcastle upon Tyne
2022-06-26,58.4,65.6,0.001,17.0,Newcastle upon Tyne
2022-06-27,57.6,68.9,0.086,15.5,Newcastle upon Tyne
2022-06-28,58.4,67.1,0.009,16.6,Newcastle upon Tyne
2022-06-29,60.3,78.9,0.202,10.6,Newcastle upon Tyne
2022-06-30,58.6,86.3,0.133,6.1,Newcastle upon Tyne
2022-07-01,57.5,84.1,0.234,10.7,Newcastle upon Tyne
2022-07-02,59.8,69.3,0.027,16.5,Newcastle upon Tyne
2022-07-03,58.7,73.5,0.006,16.7,Newcastle upon Tyne
2022-07-04,57.7,68.6,0.006,22.3,Newcastle upon Tyne
2022-07-05,57.6,66.8,0.001,14.9,Newcastle upon Tyne
2022-07-06,60.4,82.4,0.042,26.1,Newcastle upon Tyne
2022-07-07,63.6,71.1,0.0,16.4,Newcastle upon Tyne
2022-07-08,62.7,77.9,0.0,18.6,Newcastle upon Tyne
2022-07-09,62.1,70.5,0.0,13.1,Newcastle upon Tyne
2022-07-10,66.6,65.5,0.0,11.9,Newcastle upon Tyne
2022-07-11,68.5,63.7,0.0,10.1,Newcastle upon Tyne
2022-07-12,68.2,64.7,0.0,12.6,Newcastle upon Tyne
2022-07-13,61.0,65.8,0.0,17.1,Newcastle upon Tyne
2022-07-14,59.7,69.9,0.025,14.7,Newcastle upon Tyne
2022-07-15,59.7,78.6,0.037,15.4,Newcastle upon Tyne
2022-07-16,62.2,70.6,0.0,13.4,Newcastle upon Tyne
2022-07-17,67.7,65.6,0.022,9.8,Newcastle upon Tyne
2022-07-18,76.1,45.5,0.0,8.5,Newcastle upon Tyne
2022-07-19,78.7,49.8,0.0,16.2,Newcastle upon Tyne
2022-07-20,65.6,74.9,0.006,12.7,Newcastle upon Tyne
2022-07-21,60.4,76.0,0.0,11.2,Newcastle upon Tyne
2022-07-22,57.5,86.1,0.066,5.6,Newcastle upon Tyne
2022-07-23,62.1,79.2,0.07,11.0,Newcastle upon Tyne
2022-07-24,67.3,73.8,0.226,15.7,Newcastle upon Tyne
2022-07-25,60.3,84.4,0.331,16.6,Newcastle upon Tyne
2022-07-26,57.8,71.6,0.026,8.7,Newcastle upon Tyne
2022-07-27,57.5,77.3,0.0,7.1,Newcastle upon Tyne
2022-07-28,58.3,83.7,0.026,6.9,Newcastle upon Tyne
2022-07-29,61.0,77.4,0.608,9.3,Newcastle upon Tyne
2022-07-30,64.6,82.0,0.088,11.8,Newcastle upon Tyne
2022-07-31,59.9,87.9,0.156,11.3,Newcastle upon Tyne
2022-08-01,61.6,74.0,0.131,12.5,Newcastle upon Tyne
2022-08-02,68.2,77.0,0.028,17.4,Newcastle upon Tyne
2022-08-03,64.6,69.4,0.035,16.0,Newcastle upon Tyne
2022-08-04,59.2,69.4,0.006,15.1,Newcastle upon Tyne
2022-08-05,55.2,71.1,0.113,14.0,Newcastle upon Tyne
2022-08-06,57.6,71.8,0.001,17.5,Newcastle upon Tyne
2022-08-07,60.6,78.8,0.0,18.5,Newcastle upon Tyne
2022-08-08,63.2,68.5,0.0,13.7,Newcastle upon Tyne
2022-08-09,65.6,65.9,0.0,9.1,Newcastle upon Tyne
2022-08-10,68.3,62.9,0.0,9.2,Newcastle upon Tyne
2022-08-11,68.9,56.1,0.0,8.4,Newcastle upon Tyne
2022-08-12,65.3,68.9,0.0,10.0,Newcastle upon Tyne
2022-08-13,63.4,80.1,0.001,10.6,Newcastle upon Tyne
2022-08-14,66.0,78.3,0.0,9.1,Newcastle upon Tyne
2022-08-15,64.1,88.2,0.191,9.8,Newcastle upon Tyne
2022-08-16,58.9,94.1,0.371,12.6,Newcastle upon Tyne
2022-08-17,56.6,71.3,0.0,12.5,Newcastle upon Tyne
2022-08-18,60.8,78.1,0.03,11.7,Newcastle upon Tyne
2022-08-19,60.1,70.1,0.006,13.5,Newcastle upon Tyne
2022-08-20,59.0,81.9,0.272,15.4,Newcastle upon Tyne
2022-08-21,57.8,73.0,0.001,15.7,Newcastle upon Tyne
2022-08-22,59.6,82.5,0.101,7.2,Newcastle upon Tyne
2022-08-23,65.4,78.3,0.0,8.1,Newcastle upon Tyne
2022-08-24,63.5,80.6,0.214,14.4,Newcastle upon Tyne
2022-08-25,58.9,77.4,0.007,10.3,Newcastle upon Tyne
2022-08-26,59.3,71.3,0.0,7.4,Newcastle upon Tyne
2022-08-27,60.9,77.3,0.0,6.6,Newcastle upon Tyne
2022-08-28,57.5,88.9,0.006,12.7,Newcastle upon Tyne
2022-08-29,58.1,83.7,0.0,10.8,Newcastle upon Tyne
2022-08-30,56.7,73.2,0.0,12.5,Newcastle upon Tyne
2022-08-31,56.3,87.5,0.094,11.1,Newcastle upon Tyne
2022-09-01,57.7,84.4,0.008,10.9,Newcastle upon Tyne
2022-09-02,59.7,83.9,0.001,9.5,Newcastle upon Tyne
2022-09-03,63.0,90.2,0.035,12.2,Newcastle upon Tyne
2022-09-04,64.0,85.7,0.047,7.6,Newcastle upon Tyne
2022-09-05,64.9,81.1,0.135,8.6,Newcastle upon Tyne
2022-09-06,62.1,88.8,1.048,8.3,Newcastle upon Tyne
2022-09-07,60.9,84.8,0.044,9.5,Newcastle upon Tyne
2022-09-08,56.8,97.9,0.314,6.8,Newcastle upon Tyne
2022-09-09,58.2,97.1,0.685,17.4,Newcastle upon Tyne
