id,name,shortName,address,city
57,Arsenal FC,Arsenal,75 Drayton Park London N5 1BU,London
58,Aston Villa FC,Aston Villa,Villa Park Birmingham B6 6HE,Birmingham
61,Chelsea FC,Chelsea,Fulham Road London SW6 1HS,London
62,Everton FC,Everton,Goodison Park Liverpool L4 4EL,Liverpool
63,Fulham FC,Fulham,"Craven Cottage, Stevenage Road London SW6 6HH",London
64,Liverpool FC,Liverpool,Anfield Road Liverpool L4 0TH,Liverpool
65,Manchester City FC,Man City,SportCity Manchester M11 3FF,Manchester
66,Manchester United FC,Man United,Sir Matt Busby Way Manchester M16 0RA,Manchester
67,Newcastle United FC,Newcastle,Sports Direct Arena Newcastle upon Tyne NE1 4ST,Newcastle upon Tyne
73,Tottenham Hotspur FC,Tottenham,"Bill Nicholson Way, 748 High Road London N17 0AP",London
76,Wolverhampton Wanderers FC,Wolverhampton,Waterloo Road Wolverhampton WV1 4QR,Wolverhampton
338,Leicester City FC,Leicester City,"The Walkers Stadium, Filbert Way Leicester LE2 7FL",Leicester
340,Southampton FC,Southampton,Britannia Road Southampton SO14 5FP,Southampton
341,Leeds United FC,Leeds United,Elland Road Leeds LS11 0ES,Leeds
351,Nottingham Forest FC,Nottingham,"Pavilion Road, West Bridgeford Nottingham NG2 5GJ",Nottingham
354,Crystal Palace FC,Crystal Palace,Whitehorse Lane London SE25 6PU,London
397,Brighton & Hove Albion FC,Brighton Hove,44 North Road Brighton & Hove BN1 1YR,Brighton & Hove
402,Brentford FC,Brentford,Braemar Road Brentford TW8 0NT,Brentford
563,West Ham United FC,West Ham,"Queen Elizabeth Olympic Park, London London E20 2ST",London
1044,AFC Bournemouth,Bournemouth,"Dean Court, Kings Park Bournemouth BH7 7AF",Bournemouth
